Player,team,price,skill/pot,Total_Minutes_Played
Andrew Robertson,Liverpool,€24M,80.2/80.6,2308.0
Carlos Soler,West Ham United,€23.4M,71.4/71.6,1347.0
Neco Williams,Nottingham,€23.4M,71.6/78.5,2234.0
Tomáš Souček,West Ham United,€23.2M,75.6/75.6,2251.0
James Garner,Everton,€23.2M,74.9/80.4,1324.0
Dean Henderson,C. Palace,€22.7M,78.0/78.0,3060.0
Jordan Pickford,Everton,€22.6M,75.3/75.3,3150.0
Mateus Fernandes,Southampton,€22.5M,61.5/79.1,2640.0
John McGinn,Aston Villa,€22.5M,77.0/77.0,2052.0
Kristoffer Ajer,Brentford,€21.5M,71.9/72.1,1395.0
Yasin Ayari,Brighton,€21.4M,67.1/79.5,1737.0
Jean-Ricner Bellegarde,Wolverhampton,€21.3M,68.6/69.1,1551.0
Marcos Senesi,B'mouth,€20.4M,69.2/70.7,1014.0
Wilfred Ndidi,Leicester,€20.3M,69.3/70.8,2147.0
Trevoh Chalobah,Chelsea,€20.1M,75.2/78.8,1060.0
Kevin De Bruyne,Man City,€20.1M,84.9/84.9,1538.0
Mads Hermansen,Leicester,€19.8M,62.5/70.5,2385.0
Djed Spence,Tottenham,€19.8M,72.5/76.5,1514.0
Jake O'Brien,Everton,€19.7M,65.4/69.0,1391.0
Dara O'Shea,Ipswich Town,€19.5M,64.8/69.8,2852.0
Jack Clarke,Ipswich Town,€19.4M,62.8/67.8,1056.0
Lewis Cook,B'mouth,€19.3M,72.7/73.6,2816.0
Ederson,Man City,€19.1M,80.2/80.2,2050.0
Konstantinos Mavropanos,West Ham United,€19.1M,68.8/69.2,1944.0
Andreas Pereira,Fulham,€19M,75.7/75.7,1879.0
Nicolás Domínguez,Nottingham,€18.8M,74.3/75.4,1669.0
Ola Aina,Nottingham,€18.8M,74.2/74.7,2643.0
Aaron Ramsdale,Southampton,€18.7M,67.3/71.5,2430.0
Toti Gomes,Wolverhampton,€18.6M,70.6/72.1,2344.0
Cameron Archer,Southampton,€18.6M,66.2/73.8,1373.0
Kamaldeen Sulemana,Southampton,€18.5M,65.6/71.7,1178.0
Ryan Yates,Nottingham,€18.3M,72.2/74.0,1859.0
Yehor Yarmoliuk,Brentford,€18M,65.9/75.9,1129.0
Emmanuel Agbadou,Wolverhampton,€18M,68.7/68.7,1140.0
Jacob Murphy,Newcastle Utd.,€17.9M,77.2/77.2,2084.0
Issa Diop,Fulham,€17.9M,70.8/71.5,1339.0
Dominic Calvert-Lewin,Everton,€17.8M,67.6/68.8,1588.0
Jack Harrison,Everton,€17.7M,72.0/72.0,1900.0
Emiliano Martínez,Aston Villa,€17.5M,74.2/74.2,2970.0
Timothy Castagne,Fulham,€17.4M,75.9/75.9,1649.0
Kalvin Phillips,Ipswich Town,€17.2M,66.6/66.7,1237.0
James Justin,Leicester,€17M,67.9/70.6,2669.0
Oliver Skipp,Leicester,€17M,70.0/76.8,996.0
Caleb Okoli,Leicester,€16.7M,64.3/73.0,1124.0
Kyle Walker-Peters,Southampton,€16.6M,65.5/67.6,2918.0
Ryan Christie,B'mouth,€16.2M,76.7/76.7,2117.0
Yukinari Sugawara,Southampton,€15.7M,65.6/72.2,1467.0
Chris Richards,C. Palace,€15.7M,71.1/75.3,1562.0
Jens Cajuste,Ipswich Town,€15.5M,66.1/68.8,1783.0
Boubakary Soumaré,Leicester,€15.4M,69.0/74.1,1960.0
Thomas Partey,Arsenal,€15.2M,77.2/77.2,2527.0
Daichi Kamada,C. Palace,€14.6M,71.5/71.5,1338.0
Harry Wilson,Fulham,€14.5M,76.0/76.0,1003.0
Christian Nørgaard,Brentford,€14.4M,73.7/73.7,2459.0
Sammie Szmodics,Ipswich Town,€14.1M,61.3/61.3,979.0
Kenny Tete,Fulham,€14M,70.7/71.6,1504.0
Harry Maguire,Man Utd,€13.7M,67.6/68.2,1483.0
Bernd Leno,Fulham,€13.7M,74.0/74.0,3150.0
Guido Rodríguez,West Ham United,€13.6M,71.6/71.6,1018.0
Lucas Digne,Aston Villa,€13.6M,71.2/71.2,2261.0
Jefferson Lerma,C. Palace,€13.6M,70.8/70.8,2030.0
Mark Flekken,Brentford,€13.6M,72.0/72.0,2915.0
Jan Bednarek,Southampton,€12.9M,63.8/64.6,2441.0
Stephy Mavididi,Leicester,€12.9M,66.8/70.1,1615.0
Paul Onuachu,Southampton,€12.7M,63.1/63.1,1029.0
Ben Johnson,Ipswich Town,€12.6M,66.6/70.6,1348.0
Emerson Palmieri,West Ham United,€12.6M,67.0/67.0,2015.0
Saša Lukić,Fulham,€12.1M,72.1/72.1,2169.0
İlkay Gündoğan,Man City,€12.1M,81.2/81.2,2050.0
Kepa Arrizabalaga,B'mouth,€12M,72.2/75.0,2520.0
James Tarkowski,Everton,€11.8M,74.9/74.9,2922.0
Nick Pope,Newcastle Utd.,€11.7M,70.1/71.3,2160.0
Casemiro,Man Utd,€11.6M,72.4/72.4,1335.0
Harry Winks,Leicester,€11.4M,68.2/68.4,1538.0
Santiago Bueno,Wolverhampton,€11.2M,68.6/71.2,1683.0
Will Hughes,C. Palace,€11.1M,72.5/72.5,1869.0
Álex Moreno,Nottingham,€11M,68.5/69.2,955.0
Fabian Schär,Newcastle Utd.,€11M,70.9/70.9,2575.0
Jack Hinshelwood,Brighton,€9.2M,68.5/84.7,1676.0
Flynn Downes,Southampton,€9.2M,64.6/68.0,1881.0
Dan Burn,Newcastle Utd.,€9.1M,77.0/77.0,2970.0
Matz Sels,Nottingham,€9.1M,72.7/73.4,3060.0
José Sá,Wolverhampton,€8.5M,69.9/69.9,2430.0
Nélson Semedo,Wolverhampton,€8.4M,72.4/72.4,2661.0
Rodrigo Muniz,Fulham,€8.2M,66.7/71.6,964.0
Adama Traoré,Fulham,€8M,68.7/68.7,1592.0
Chris Wood,Nottingham,€7.8M,73.1/73.1,2599.0
Ethan Pinnock,Brentford,€7.6M,70.5/70.5,1913.0
Lewis Dunk,Brighton,€7.4M,69.6/71.0,1993.0
Joe Aribo,Southampton,€6.9M,63.3/64.1,1909.0
Danny Welbeck,Brighton,€6M,72.1/72.1,1852.0
Abdoulaye Doucouré,Everton,€5.8M,69.1/69.1,2425.0
Stefan Ortega,Man City,€5.8M,61.7/61.7,1100.0
Tyrone Mings,Aston Villa,€5.8M,69.5/69.5,1051.0
Joël Veltman,Brighton,€5.7M,74.8/74.8,1643.0
Ben Davies,Tottenham,€5.6M,66.4/66.4,1036.0
Kieran Trippier,Newcastle Utd.,€5.1M,69.5/69.5,1192.0
Raúl Jiménez,Fulham,€5.1M,68.8/68.8,2224.0
Axel Tuanzebe,Ipswich Town,€4.2M,62.4/63.0,1446.0
Christian Eriksen,Man Utd,€4.2M,66.9/66.9,994.0
Matt Doherty,Wolverhampton,€4.2M,68.1/68.1,1965.0
Jordan Ayew,Leicester,€4.2M,65.5/66.4,1425.0
Ryan Manning,Southampton,€3.9M,62.2/62.4,1459.0
Conor Coady,Leicester,€2.2M,61.3/61.3,1444.0
Wes Burns,Ipswich Town,€2.1M,64.4/64.4,926.0
Jannik Vestergaard,Leicester,€2M,61.7/61.7,1391.0
Luke Woolfenden,Ipswich Town,€2M,65.0/68.3,1187.0
Cameron Burgess,Ipswich Town,€1.7M,61.7/62.8,1451.0
Alex Palmer,Ipswich Town,€1.6M,64.4/67.5,990.0
Adam Smith,B'mouth,€1.5M,68.5/68.7,1409.0
Craig Dawson,Wolverhampton,€1.5M,64.4/64.4,971.0
Jack Stephens,Southampton,€1.4M,60.6/61.0,1209.0
Ashley Young,Everton,€1.3M,72.5/72.5,1622.0
Sam Morsy,Ipswich Town,€1.3M,65.0/65.6,2486.0
Jamie Vardy,Leicester,€1M,67.3/69.5,2655.0
Łukasz Fabiański,West Ham United,€0.9M,64.4/64.4,1070.0
